person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gasto_mensual,ahorro_mensual,indice_endeudamiento,loan_grade_score,score_crediticio
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,6433.598041701587,3166.401958298413,0.10416666666666667,4.0,52.377382964924024
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,6497.58670576852,3102.41329423148,0.5729166666666666,3.0,43.20409768960054
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,5510.356054033498,4389.643945966502,0.25252525252525254,5.0,64.29353662296789
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,6141.030336211197,3858.969663788803,0.16,2.0,32.703369376840705
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,6092.654775188266,3907.3452248117337,0.45,5.0,63.30340340021051
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,6745.073327074865,4054.926672925135,0.16203703703703703,4.0,52.47706080614121
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,7349.1777390577745,3630.8222609422255,0.1366120218579235,5.0,65.42826916738433
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,6150.429256234126,4849.570743765874,0.4159090909090909,1.0,2.9355788757402754
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,7551.53926491166,3448.46073508834,0.12727272727272726,5.0,64.07929571624508
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,7557.147103622721,3831.8528963772787,0.3512160856967249,3.0,23.473467087705867
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,6846.262961104663,4673.737038895337,0.1736111111111111,4.0,53.62508372938662
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,6926.365372821645,5073.634627178355,0.20833333333333334,5.0,66.51648538589943
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,7561.757890984985,4438.242109015015,0.20833333333333334,4.0,52.5817889913134
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,8043.372181957914,3956.627818042086,0.14583333333333334,1.0,7.421081730513647
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,135467.64277072132,86382.35722927868,0.1126887536623845,2.0,30.831020807417094
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,7001.422975426424,4998.577024573576,0.125,2.0,14.120761698191444
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,8331.400967835532,3668.5990321644676,0.25,3.0,44.4533932995226
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,7228.352636493677,4771.647363506323,0.25,3.0,24.196197888424607
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,7136.076172450554,4863.923827549446,0.5083333333333333,5.0,65.28207500026579
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,8163.594722436129,3836.405277563871,0.35,3.0,25.516995736446468
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,8760.132704959087,3239.8672950409127,0.3958333333333333,5.0,64.29353662296789
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,7270.914607484128,4729.085392515872,0.225,5.0,64.2039594696607
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,49522.940475365875,19477.059524634125,0.4,5.0,61.735138698393456
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,8196.131740802679,3803.868259197321,0.2708333333333333,1.0,4.304487895122963
